G1A,0,90,10
G1B,9.09,81.82,9.09
G1C,23.08,69.23,7.69
G1D,33.33,60,6.67
G1E,41.18,52.94,5.88
G2A,0,70,30
G2B,9.09,63.64,27.27
G2C,23.08,53.85,23.08
G2D,33.33,46.67,20
G2E,41.18,41.18,17.65
G3A,0,50,50
G3B,9.09,45.45,45.45
G3C,23.08,38.46,38.46
G3D,33.33,33.33,33.33
G3E,41.18,29.41,29.41
G4A,0,30,70
G4B,9.09,27.27,63.64
G4C,23.08,23.08,53.85
G4D,33.33,20,46.67
G4E,41.18,17.65,41.18
G5A,0,10,90
G5B,9.09,9.09,81.82
G5C,23.08,7.69,69.23
G5D,33.33,6.66,60
G5E,41.18,5.88,52.94
